title,p-title,link,aid,cid
【SNH48】TeamX《梦想的旗帜》第七十场 千秋乐公演 全场 CUT（20171209）,开场曲：结伴同行+北极光+寻路者+Shiny Boys Shiny Girls,www.bilibili.com/video/av17088853/index_1.html,17088853,27926006
,MC1：千秋乐你还有什么话想对《梦旗》说吗,www.bilibili.com/video/av17088853/index_2.html,17088853,27932442
,UNIT：梦+水手服+无可替代+Monster+人鱼,www.bilibili.com/video/av17088853/index_3.html,17088853,27932443
,MC2：安利一下新公演,www.bilibili.com/video/av17088853/index_4.html,17088853,27932444
,十六人曲：梦想的旗帜+One Two Three+X基因,www.bilibili.com/video/av17088853/index_5.html,17088853,27932445
,MC3：第一组：千秋乐有什么想对队友说的；第二组：谁是队里最怂的人,www.bilibili.com/video/av17088853/index_6.html,17088853,27936613
,久违的原版《星座》,www.bilibili.com/video/av17088853/index_7.html,17088853,27967821
,千秋乐Encore+闪亮加冕+梦想家+未来寄语+To Be Continued,www.bilibili.com/video/av17088853/index_8.html,17088853,27940216
,谢幕+击掌,www.bilibili.com/video/av17088853/index_9.html,17088853,27936615
【SNH48】TeamX《梦想的旗帜》第六十九场 全场 CUT（20171203）,开场曲：结伴同行+北极光+寻路者+ShinyBoysShinyGirls,www.bilibili.com/video/av16916835/index_1.html,16916835,27649844
,MC1：想成为什么样的超级英雄,www.bilibili.com/video/av16916835/index_2.html,16916835,27649845
,UNIT：梦+水手服+无可替代+Monster+人鱼,www.bilibili.com/video/av16916835/index_3.html,16916835,27649846
,MC2：2017年未完成的心愿,www.bilibili.com/video/av16916835/index_4.html,16916835,27649847
,十六人曲：梦想的旗帜+ONETWOTHREE+X基因,www.bilibili.com/video/av16916835/index_5.html,16916835,27649848
,MC3：第一组（做动作猜成员）第二组（说每个成员的隐藏属性）,www.bilibili.com/video/av16916835/index_6.html,16916835,27654991
,十六人曲：星座,www.bilibili.com/video/av16916835/index_7.html,16916835,27654992
,Encore曲：闪亮加冕+梦想家+未来寄语,www.bilibili.com/video/av16916835/index_8.html,16916835,27654993
,一百米便利店,www.bilibili.com/video/av16916835/index_9.html,16916835,27654994
,、重大发表+B50中报,www.bilibili.com/video/av16916835/index_10.html,16916835,27654995
