title,p-title,link,aid,cid
【SNH48】TeamX《梦想的旗帜》第七十场 千秋乐公演 全场 CUT（20171209）,开场曲：结伴同行+北极光+寻路者+Shiny Boys Shiny Girls,https://www.bilibili.com/video/av17088853/index_1.html,17088853,27926006
,MC1：千秋乐你还有什么话想对《梦旗》说吗,https://www.bilibili.com/video/av17088853/index_2.html,17088853,27932442
,UNIT：梦+水手服+无可替代+Monster+人鱼,https://www.bilibili.com/video/av17088853/index_3.html,17088853,27932443
,MC2：安利一下新公演,https://www.bilibili.com/video/av17088853/index_4.html,17088853,27932444
,十六人曲：梦想的旗帜+One Two Three+X基因,https://www.bilibili.com/video/av17088853/index_5.html,17088853,27932445
,MC3：第一组：千秋乐有什么想对队友说的；第二组：谁是队里最怂的人,https://www.bilibili.com/video/av17088853/index_6.html,17088853,27936613
,久违的原版《星座》,https://www.bilibili.com/video/av17088853/index_7.html,17088853,27967821
,千秋乐Encore+闪亮加冕+梦想家+未来寄语+To Be Continued,https://www.bilibili.com/video/av17088853/index_8.html,17088853,27940216
,谢幕+击掌,https://www.bilibili.com/video/av17088853/index_9.html,17088853,27936615
【SNH48】TeamX《梦想的旗帜》第六十九场 全场 CUT（20171203）,开场曲：结伴同行+北极光+寻路者+ShinyBoysShinyGirls,https://www.bilibili.com/video/av16916835/index_1.html,16916835,27649844
,MC1：想成为什么样的超级英雄,https://www.bilibili.com/video/av16916835/index_2.html,16916835,27649845
,UNIT：梦+水手服+无可替代+Monster+人鱼,https://www.bilibili.com/video/av16916835/index_3.html,16916835,27649846
,MC2：2017年未完成的心愿,https://www.bilibili.com/video/av16916835/index_4.html,16916835,27649847
,十六人曲：梦想的旗帜+ONETWOTHREE+X基因,https://www.bilibili.com/video/av16916835/index_5.html,16916835,27649848
,MC3：第一组（做动作猜成员）第二组（说每个成员的隐藏属性）,https://www.bilibili.com/video/av16916835/index_6.html,16916835,27654991
,十六人曲：星座,https://www.bilibili.com/video/av16916835/index_7.html,16916835,27654992
,Encore曲：闪亮加冕+梦想家+未来寄语,https://www.bilibili.com/video/av16916835/index_8.html,16916835,27654993
,一百米便利店,https://www.bilibili.com/video/av16916835/index_9.html,16916835,27654994
,、重大发表+B50中报,https://www.bilibili.com/video/av16916835/index_10.html,16916835,27654995
【SNH48】TeamX《梦想的旗帜》第六十八场 全场 CUT（20171201）,开场曲：结伴同行+北极光+寻路者+ShinyBoysShinyGirls,https://www.bilibili.com/video/av16840246/index_1.html,16840246,27513419
,MC1：队里智商高的有趣的事情,https://www.bilibili.com/video/av16840246/index_2.html,16840246,27515359
,UNIT：梦+水手服+无可替代+Monster+人鱼,https://www.bilibili.com/video/av16840246/index_3.html,16840246,27516614
,MC2：你曾经养过什么宠物，以后想养什么宠物,https://www.bilibili.com/video/av16840246/index_4.html,16840246,27517604
,十六人曲：梦想的旗帜+ONETWOTHREE+X基因,https://www.bilibili.com/video/av16840246/index_5.html,16840246,27517947
,MC3：谁是卧底,https://www.bilibili.com/video/av16840246/index_6.html,16840246,27520772
,十六人曲：星座（滑跪）,https://www.bilibili.com/video/av16840246/index_7.html,16840246,27520773
,Encore曲：闪亮加冕+梦想家+未来寄语+暹罗猫,https://www.bilibili.com/video/av16840246/index_8.html,16840246,27521840
,谢幕+击掌,https://www.bilibili.com/video/av16840246/index_9.html,16840246,27522321
【SNH48】TeamX《梦想的旗帜》第六十七场 全场 CUT（20171126）,开场曲：结伴同行+北极光+寻路者+ShinyBoysShinyGirls,https://www.bilibili.com/video/av16687303/index_1.html,16687303,27213560
,MC1：狼人杀里最喜欢哪个前辈的cos,https://www.bilibili.com/video/av16687303/index_2.html,16687303,27213561
,UNIT：梦+水手服+无可替代+Monster+人鱼,https://www.bilibili.com/video/av16687303/index_3.html,16687303,27213562
,MC2：冬天里最不能缺少的东西,https://www.bilibili.com/video/av16687303/index_4.html,16687303,27215838
,十六人曲：梦想的旗帜+ONETWOTHREE+X基因,https://www.bilibili.com/video/av16687303/index_5.html,16687303,27215839
,MC3：第一组（夸夸自己或者商业互吹）第二组（做动作猜成员）,https://www.bilibili.com/video/av16687303/index_6.html,16687303,27215840
,十六人曲：星座,https://www.bilibili.com/video/av16687303/index_7.html,16687303,27215841
,Encore曲：闪亮加冕+梦想家+未来寄语+清纯哲学,https://www.bilibili.com/video/av16687303/index_8.html,16687303,27216988
,小组合特殊环节：梦之河（张丹三+宋昕冉）,https://www.bilibili.com/video/av16687303/index_9.html,16687303,27216989
,、谢幕+击掌,https://www.bilibili.com/video/av16687303/index_10.html,16687303,27216990
【SNH48】TeamX《梦想的旗帜》金曲大赏曲目特别赏析节目（20171122）,【SNH48】TeamX《梦想的旗帜》金曲大赏曲目特别赏析节目（20171122）,https://www.bilibili.com/video/av16751396/,16751396,0
【SNH48】TeamX《梦想的旗帜》第六十六场 新设备公演 全场 CUT（20171122）,开场曲：结伴同行+北极光+寻路者+Shiny Boys Shiny Girls,https://www.bilibili.com/video/av16579620/index_1.html,16579620,27041514
,MC1：你看的第一部偶像剧是什么,https://www.bilibili.com/video/av16579620/index_2.html,16579620,27041515
,UNIT：梦+水手服+无可替代+Monster+人鱼,https://www.bilibili.com/video/av16579620/index_3.html,16579620,27041516
,MC2：玩狼人杀想跟谁在一组,https://www.bilibili.com/video/av16579620/index_4.html,16579620,27041517
,十六人曲：梦想的旗帜+One Two Three+X基因,https://www.bilibili.com/video/av16579620/index_5.html,16579620,27041518
,MC3：第一组：选择任意自己喜欢的话题聊聊；第二组：说一句话让左边的人当场崩溃，最好弄哭,https://www.bilibili.com/video/av16579620/index_6.html,16579620,27041519
,十六人曲：星座,https://www.bilibili.com/video/av16579620/index_7.html,16579620,27041520
,安可曲：闪亮加冕+梦想家+未来寄语+青春的花瓣,https://www.bilibili.com/video/av16579620/index_8.html,16579620,27041521
,谢幕+击掌,https://www.bilibili.com/video/av16579620/index_9.html,16579620,27041522
【SNH48】TeamX《梦想的旗帜》金曲大赏曲目特别赏析节目（20171116）,【SNH48】TeamX《梦想的旗帜》金曲大赏曲目特别赏析节目（20171116）,https://www.bilibili.com/video/av16598367/,16598367,0
【SNH48】TeamX《梦想的旗帜》第六十五场 全场 CUT（20171116）,开场曲：结伴同行+北极光+寻路者+Shiny Boys Shiny Girls,https://www.bilibili.com/video/av16393767/index_1.html,16393767,26747444
,MC1：和前辈玩游戏开黑的时候会放水吗,https://www.bilibili.com/video/av16393767/index_2.html,16393767,26747445
,UNIT：梦+水手服+无可替代+Monster+人鱼,https://www.bilibili.com/video/av16393767/index_3.html,16393767,26747446
,MC2：你做过最具有挑战性的事是什么,https://www.bilibili.com/video/av16393767/index_4.html,16393767,26747447
,十六人曲：梦想的旗帜+One Two Three+X基因,https://www.bilibili.com/video/av16393767/index_5.html,16393767,26747448
,MC3：第一组：私下里有没有什么偶遇成员的趣事或尴尬场面；第二组：你觉得谁是最“作”之人，分享一件觉得她很“作”的事,https://www.bilibili.com/video/av16393767/index_6.html,16393767,26747449
,十六人曲：星座,https://www.bilibili.com/video/av16393767/index_7.html,16393767,26747450
,安可曲：闪亮加冕+梦想家+未来寄语+暹罗猫,https://www.bilibili.com/video/av16393767/index_8.html,16393767,26747451
,谢幕+击掌,https://www.bilibili.com/video/av16393767/index_9.html,16393767,26747452
【SNH48】TeamX《梦想的旗帜》第六十四场 邵雪聪生日主题公演 全场 CUT（20171112）,开场曲：结伴同行+北极光+寻路者+Shiny Boys Shiny Girls,https://www.bilibili.com/video/av16270289/index_1.html,16270289,26549612
,MC1：对聪聪的生日祝福,https://www.bilibili.com/video/av16270289/index_2.html,16270289,26552961
,UNIT：梦+水手服+无可替代+Monster+人鱼,https://www.bilibili.com/video/av16270289/index_3.html,16270289,26552962
,生日环节：舞蹈（画中仙+寒夜+不潮不用花钱）,https://www.bilibili.com/video/av16270289/index_4.html,16270289,26561218
,十六人曲：梦想的旗帜+One Two Three+X基因,https://www.bilibili.com/video/av16270289/index_5.html,16270289,26561219
