title,p-title,link,aid,cid
【SNH48】TeamX《梦想的旗帜》第七十场 千秋乐公演 全场 CUT（20171209）,MC1：千秋乐你还有什么话想对《梦旗》说吗,https://www.bilibili.com/video/av17088853/index_2.html,17088853,27932442
,MC2：安利一下新公演,https://www.bilibili.com/video/av17088853/index_4.html,17088853,27932444
,MC3：第一组：千秋乐有什么想对队友说的；第二组：谁是队里最怂的人,https://www.bilibili.com/video/av17088853/index_6.html,17088853,27936613
【SNH48】TeamX《梦想的旗帜》第六十九场 全场 CUT（20171203）,MC1：想成为什么样的超级英雄,https://www.bilibili.com/video/av16916835/index_2.html,16916835,27649845
,MC2：2017年未完成的心愿,https://www.bilibili.com/video/av16916835/index_4.html,16916835,27649847
,MC3：第一组（做动作猜成员）第二组（说每个成员的隐藏属性）,https://www.bilibili.com/video/av16916835/index_6.html,16916835,27654991
【SNH48】TeamX《梦想的旗帜》第六十八场 全场 CUT（20171201）,MC1：队里智商高的有趣的事情,https://www.bilibili.com/video/av16840246/index_2.html,16840246,27515359
,MC2：你曾经养过什么宠物，以后想养什么宠物,https://www.bilibili.com/video/av16840246/index_4.html,16840246,27517604
,MC3：谁是卧底,https://www.bilibili.com/video/av16840246/index_6.html,16840246,27520772
【SNH48】TeamX《梦想的旗帜》第六十七场 全场 CUT（20171126）,MC1：狼人杀里最喜欢哪个前辈的cos,https://www.bilibili.com/video/av16687303/index_2.html,16687303,27213561
,MC2：冬天里最不能缺少的东西,https://www.bilibili.com/video/av16687303/index_4.html,16687303,27215838
,MC3：第一组（夸夸自己或者商业互吹）第二组（做动作猜成员）,https://www.bilibili.com/video/av16687303/index_6.html,16687303,27215840
【SNH48】TeamX《梦想的旗帜》第六十六场 新设备公演 全场 CUT（20171122）,MC1：你看的第一部偶像剧是什么,https://www.bilibili.com/video/av16579620/index_2.html,16579620,27041515
,MC2：玩狼人杀想跟谁在一组,https://www.bilibili.com/video/av16579620/index_4.html,16579620,27041517
,MC3：第一组：选择任意自己喜欢的话题聊聊；第二组：说一句话让左边的人当场崩溃，最好弄哭,https://www.bilibili.com/video/av16579620/index_6.html,16579620,27041519
【SNH48】TeamX《梦想的旗帜》第六十五场 全场 CUT（20171116）,MC1：和前辈玩游戏开黑的时候会放水吗,https://www.bilibili.com/video/av16393767/index_2.html,16393767,26747445
,MC2：你做过最具有挑战性的事是什么,https://www.bilibili.com/video/av16393767/index_4.html,16393767,26747447
,MC3：第一组：私下里有没有什么偶遇成员的趣事或尴尬场面；第二组：你觉得谁是最“作”之人，分享一件觉得她很“作”的事,https://www.bilibili.com/video/av16393767/index_6.html,16393767,26747449
【SNH48】TeamX《梦想的旗帜》第六十四场 邵雪聪生日主题公演 全场 CUT（20171112）,MC1：对聪聪的生日祝福,https://www.bilibili.com/video/av16270289/index_2.html,16270289,26552961
,MC3：扳手腕大赛,https://www.bilibili.com/video/av16270289/index_6.html,16270289,26593144
【SNH48】20171109 Team X《梦想的旗帜》咪咕音乐主题公演,抽奖+MC1：在咪咕音乐上的体验,https://www.bilibili.com/video/av16171190/index_2.html,16171190,26403541
,MC2：你心目中的音乐女神是谁,https://www.bilibili.com/video/av16171190/index_4.html,16171190,26403543
,MC3+MC4：最近喜欢什么风格的音乐,https://www.bilibili.com/video/av16171190/index_6.html,16171190,26403545
【SNH48】TeamX《梦想的旗帜》第六十二场 & Best50金曲大赏速报 全场 CUT（20171105）,MC1：为一首儿歌打call,https://www.bilibili.com/video/av16059483/index_2.html,16059483,26212909
,MC2：点外卖时遇到的趣事,https://www.bilibili.com/video/av16059483/index_4.html,16059483,26213434
